"Date","Description","Original Description","Amount","Transaction Type","Category","Account Name","Labels","Notes"
"5/13/2017","Amazon","Amazon","15.76","debit","Shopping","Venture","",""
"5/12/2017","Black Diamond Cafe LLC","BLACK DIAMOND CAFE EMERYVILLE CA05/11","15.28","debit","Restaurants","Day to Day","",""
"5/11/2017","Berkeley Bowl W","BERKELEY BOWL W BERKELEY CA05/11","8.51","debit","Groceries","Day to Day","",""
"5/10/2017","Black Diamond Cafe LLC","BLACK DIAMOND CAFE EMERYVILLE CA05/08","9.23","debit","Restaurants","Day to Day","",""
"5/10/2017","Venmo","VENMO            PAYMENT    515034398       WEB ID: 3264681992","250.00","debit","Transfer","Day to Day","",""
"5/10/2017","Tickets.Com","BROWNPAPERTICKETS COM","21.69","debit","Entertainment","Venture","",""
"5/10/2017","Amazon","Amazon","60.24","debit","Shopping","Venture","",""
"5/09/2017","Chevron","Chevron","46.48","debit","Gas & Fuel","Venture","",""
"5/08/2017","Casse-Croute Bakery","SQ *CASSE-CROUTE BAKERY Pleasanton CA        05/05","16.39","debit","Restaurants","TOTAL CHECKING","",""
"5/08/2017","Casse-Croute Bakery","SQ *CASSE-CROUTE BAKERY Pleasanton CA        05/05","3.28","debit","Restaurants","TOTAL CHECKING","",""
"5/08/2017","Rokabab","ROKABAB THOUSAND OAKS CA05/06","24.66","debit","Restaurants","TOTAL CHECKING","",""
"5/08/2017","Brent Delicatessen G","BRENT'S DELICATESSEN WESTLAKE VLG CA         05/06","100.00","debit","Food & Dining","TOTAL CHECKING","",""
"5/08/2017","Coffee Bean","COFFEE BEAN STORE WESTLAKE VILLCA           05/07","3.70","debit","Coffee Shops","TOTAL CHECKING","",""
"5/08/2017","East Coast Bagel","EAST COAST BAGEL CO WESTLAKE VILL CA         05/07","11.26","debit","Restaurants","TOTAL CHECKING","",""
"5/08/2017","Panera Bread","PANERA BREAD #204473 MILLBRAE CA05/08","22.03","debit","Fast Food","TOTAL CHECKING","",""
"5/08/2017","Trader Joe's","TRADER JOE'S # 170 MILLBRAE CA576144  05/08","20.42","debit","Groceries","TOTAL CHECKING","",""
"5/06/2017","Squ Wild Jack","SQU*SQ *WILD JACK'S TE","43.32","debit","Uncategorized","Venture","",""
"5/06/2017","The Shopp","THE SHOPPE AT KETTLEMA","11.64","debit","Business Services","Venture","",""
"5/05/2017","AAA","AAA","293.18","debit","Auto Insurance","Venture","",""
"5/04/2017","Burlingame Tobacconists","Burlingame Tobacconist, BURLINGAME CA        05/02","50.13","debit","Food & Dining","Day to Day","",""
"5/04/2017","Google Payroll Ppd","GOOGLE INC       PAYROLLPPD ID: J770493581","750.00","credit","Paycheck","TOTAL CHECKING","",""
"5/04/2017","Google Payroll Ppd","GOOGLE INC       PAYROLLPPD ID: J770493581","750.00","credit","Paycheck","TOTAL CHECKING","",""
"5/04/2017","Panera Bread","PANERA BREAD #204473 MILLBRAE CA05/04","22.03","debit","Fast Food","TOTAL CHECKING","",""
"5/04/2017","Google","GOOGLE INC       REVERSALPPD ID: J770493581","750.00","debit","Advertising","TOTAL CHECKING","",""
"5/04/2017","Amazon","Amazon","35.33","credit","Shopping","Venture","",""
"5/03/2017","Cherimoya Vietname","CHERIMOYA VIETNAME BURLINGAME CA05/02","11.00","debit","Restaurants","Day to Day","",""
"5/03/2017","AES","AES              STDNT LOAN PA3660282613B   WEB ID: E231693362","400.00","debit","Student Loan","Day to Day","",""
"5/03/2017","Check 101","CHECK 113","2295.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"5/03/2017","Berkeley Ironworks","Berkeley Ironworks","79.00","debit","Home","Venture","",""
"5/03/2017","Berkeley Ironworks","Berkeley Ironworks","2.00","debit","Home","Venture","",""
"5/02/2017","Tst Paradita","TST* PARADITA EMERYVILLE CA05/01","10.11","debit","Restaurants","Day to Day","",""
"5/02/2017","AutoZone","AUTOZONE  3307 320 EL MILLBRAE CA    911813  05/02","3.25","debit","Service & Parts","Day to Day","",""
"5/02/2017","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","500.00","debit","Transfer","Day to Day","",""
"5/02/2017","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","200.00","debit","Transfer","Day to Day","",""
"5/02/2017","Amazon","Amazon.com AMZN.COM/BILL WA05/01","33.73","debit","Shopping","TOTAL CHECKING","",""
"5/02/2017","Comcast","COMCAST CALIFORN CS 1 800-266-2278 CA        05/02","113.43","debit","Television","TOTAL CHECKING","",""
"5/02/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA          05/02 Purchase $9.95","109.95","debit","Groceries","TOTAL CHECKING","",""
"5/02/2017","Pacific Gas & Electric","PGANDE           WEB ONLINE 71845505042817  WEB ID: 5940742640","12.21","debit","Utilities","TOTAL CHECKING","",""
"5/01/2017","Atlas Cafe","ATLAS CAFE SAN FRANCISCO CA04/30","10.31","debit","Restaurants","Day to Day","",""
"5/01/2017","Berkeley Bowl W","BERKELEY BOWL W BERKELEY CA05/01","62.38","debit","Groceries","Day to Day","",""
"5/01/2017","Ben Tre","BEN TRE MILLBRAE CA04/29","42.00","debit","Restaurants","TOTAL CHECKING","",""
"5/01/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  839392  04/30","10.23","debit","Groceries","TOTAL CHECKING","",""
"5/01/2017","Target","TARGET T- 1150 El Cami San BrunoCA          05/01","95.24","debit","Shopping","TOTAL CHECKING","",""
"5/01/2017","Boxing Room","Boxing Room","50.19","debit","Restaurants","Venture","",""
"4/28/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1494.23","credit","Paycheck","Day to Day","",""
"4/28/2017","Interest","INTEREST PAYMENT","0.01","credit","Interest Income","CHASE SAVINGS","",""
"4/28/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","750.00","credit","Paycheck","TOTAL CHECKING","",""
"4/28/2017","Chevron","Chevron","46.94","debit","Gas & Fuel","Venture","",""
"4/27/2017","Kaiser Permanente","KAISER 02049906 213-985-2140 CA04/26","180.00","debit","Health Insurance","TOTAL CHECKING","",""
"4/27/2017","Aut O Loan","Online Payment 6179452548 To Auto Loan 4306","300.00","debit","Auto Payment","TOTAL CHECKING","",""
"4/27/2017","Amazon","Amazon","71.20","debit","Shopping","Venture","",""
"4/27/2017","Sunglassmus","PAYPAL *SUNGLASSMUS","16.09","debit","Misc Expenses","Venture","",""
"4/27/2017","Thomaslittl","PAYPAL *THOMASLITTL","10.00","debit","Misc Expenses","Venture","",""
"4/26/2017","Peerless Coffee Tea","PEERLESS COFFEE & TEA OAKLAND CA04/25","17.20","debit","Coffee Shops","Day to Day","",""
"4/26/2017","Trader Joe's","TRADER JOE'S # 170 MILLBRAE CA497850  04/26","19.76","debit","Groceries","TOTAL CHECKING","",""
"4/26/2017","Amazon","Amazon","40.93","debit","Shopping","Venture","",""
"4/26/2017","Amazon","Amazon","108.24","debit","Shopping","Venture","",""
"4/25/2017","Capital One Crcardpmt","CAPITAL ONE      CRCARDPMT  711430189104189 WEB ID: 9541719018","664.43","debit","Credit Card Payment","Day to Day","",""
"4/25/2017","Blk Tuxtuxedo Rentals","BLK TUXTUXEDO RENTALS","218.00","debit","Clothing","Venture","",""
"4/24/2017","Valero","CHILES ROAD VALERO DAVIS CA320800  04/22","3.43","debit","Gas & Fuel","Day to Day","",""
"4/24/2017","Starbucks","STARBUCKS STORE 24654 DAVIS CA04/22","5.70","debit","Coffee Shops","Day to Day","",""
"4/24/2017","Raley's","RALEY'S #119 SOUTH LAKE TA CA272158  04/23","6.01","debit","Groceries","Day to Day","",""
"4/24/2017","Treasure","CCS PIRATES TREASURE SO LAKE TAHOE CA        04/23","11.72","debit","Clothing","Day to Day","",""
"4/24/2017","Panera Bread","PANERA BREAD #204473 MILLBRAE CA04/21","11.18","debit","Fast Food","TOTAL CHECKING","",""
"4/24/2017","Black Diamond Cafe LLC","BLACK DIAMOND CAFE EMERYVILLE CA04/21","5.00","debit","Restaurants","TOTAL CHECKING","",""
"4/24/2017","Safeway","SAFEWAY STORE     2878 MILLBRAECA   878339  04/24","27.94","debit","Groceries","TOTAL CHECKING","",""
"4/24/2017","Dumpling Empire","DUMPLING EMPIRE S SAN FRANCIS CA04/21","32.09","debit","Restaurants","TOTAL CHECKING","",""
"4/24/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  500878  04/24","12.67","debit","Groceries","TOTAL CHECKING","",""
"4/24/2017","Blue Dog","BLUE DOG GOURMET PIZZA","19.98","debit","Shopping","Venture","",""
"4/24/2017","Harvey's","HARVEYS CASINO CABO WA","30.70","debit","Groceries","Venture","",""
"4/24/2017","Capital One Autopay","CAPITAL ONE AUTOPAY PYMT AuthDate 30-M AR","664.43","credit","Credit Card Payment","Venture","",""
"4/24/2017","Panera Bread","Panera Bread","10.85","debit","Fast Food","Venture","",""
"4/24/2017","CVS","CVS","1.37","debit","Pharmacy","Venture","",""
"4/24/2017","Heavenly Lift Tkts","HEAVENLY LIFT TKTS/SKI","97.00","debit","Sports","Venture","",""
"4/24/2017","Fastrak","FasTrak","110.00","debit","Auto & Transport","Venture","",""
"4/21/2017","Ucd Foundation","UCD FOUNDATION","150.00","debit","Charity","Venture","",""
"4/20/2017","Google Payroll Ppd","GOOGLE INC       PAYROLLPPD ID: J770493581","750.00","credit","Paycheck","TOTAL CHECKING","",""
"4/19/2017","Banana","Banana Visa      BR EPAY    1295744892      WEB ID: 9130142001","80.46","debit","Restaurants","Day to Day","",""
"4/19/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  802035  04/19","9.17","debit","Groceries","TOTAL CHECKING","",""
"4/19/2017","Chevron","Chevron","50.29","debit","Gas & Fuel","Venture","",""
"4/19/2017","AT&T","AT&T","76.76","debit","Home Phone","Venture","",""
"4/18/2017","Ruby's Cafe","RUBY'S CAFE EMERYVILLE CA04/17","10.50","debit","Restaurants","Day to Day","",""
"4/18/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  763640  04/18","54.68","debit","Groceries","TOTAL CHECKING","",""
"4/17/2017","Berkeley Bowl W","BERKELEY BOWL W BERKELEY CA04/17","32.96","debit","Groceries","Day to Day","",""
"4/17/2017","Oui Oui Macaron","SQ *OUI OUI! MACARON EmeryvilleCA           04/14","11.00","debit","Restaurants","Day to Day","",""
"4/17/2017","900 Grayson","900 GRAYSON BERKELEY CA04/15","38.50","debit","Restaurants","TOTAL CHECKING","",""
"4/17/2017","Black Diamond Cafe LLC","BLACK DIAMOND CAFE EMERYVILLE CA04/14","9.23","debit","Restaurants","TOTAL CHECKING","",""
"4/17/2017","Panera Bread","PANERA BREAD #204473 MILLBRAE CA04/16","11.18","debit","Fast Food","TOTAL CHECKING","",""
"4/17/2017","Safeway","SAFEWAY STORE     2878 MILLBRAECA   004725  04/15","59.62","debit","Groceries","TOTAL CHECKING","",""
"4/17/2017","Safeway","SAFEWAY STORE     2878 MILLBRAECA   165529  04/16","19.30","debit","Groceries","TOTAL CHECKING","",""
"4/17/2017","Trader Joe's","TRADER JOE'S # 170 MILLBRAE CA856750  04/16","7.06","debit","Groceries","TOTAL CHECKING","",""
"4/17/2017","Columbia Sportswear","COLUMBIA SPORTSWEAR 42","91.76","debit","Clothing","Venture","",""
"4/15/2017","Gogi","GOGI TIME, INC","33.16","debit","Restaurants","Venture","",""
"4/14/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1494.24","credit","Paycheck","Day to Day","",""
"4/14/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","958.46","credit","Paycheck","Day to Day","",""
"4/14/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","750.00","credit","Paycheck","TOTAL CHECKING","",""
"4/14/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  539847  04/14","10.46","debit","Groceries","TOTAL CHECKING","",""
"4/14/2017","Spotify","Spotify","9.99","debit","Music","Venture","",""
"4/12/2017","Berkeley Ironworks","Berkeley Ironworks","7.00","debit","Home","Venture","",""
"4/11/2017","Amazon","Amazon.com AMZN.COM/BILL WA04/11","14.13","debit","Shopping","TOTAL CHECKING","",""
"4/11/2017","Shell","Shell Oil","9.56","debit","Gas & Fuel","Venture","",""
"4/10/2017","Polaris Cafe","SQ *POLARIS CAFE Emeryville CA04/07","9.00","debit","Restaurants","Day to Day","",""
"4/10/2017","Berkeley Bowl M","BERKELEY BOWL M BERKELEY CA04/10","38.40","debit","Groceries","Day to Day","",""
"4/10/2017","Lyft","LYFT   *RIDE SAT 7PM LYFT.COM CA04/09","10.94","debit","Rental Car & Taxi","Day to Day","",""
"4/10/2017","Taste In","TASTE IN BURLINGAME CA04/07","30.42","debit","Restaurants","TOTAL CHECKING","",""
"4/10/2017","Panera Bread","PANERA BREAD #204473 650-692-3100 CA         04/10","8.68","debit","Fast Food","TOTAL CHECKING","",""
"4/10/2017","Chevron","Chevron","45.75","debit","Gas & Fuel","Venture","",""
"4/07/2017","Safeway","SAFEWAY STORE     2878 MILLBRAECA   737877  04/07","15.56","debit","Groceries","TOTAL CHECKING","",""
"4/07/2017","Trader Joe's","TRADER JOE'S # 170 MILLBRAE CA523092  04/07","18.22","debit","Groceries","TOTAL CHECKING","",""
"4/07/2017","Berkeley Ironworks","Berkeley Ironworks","79.00","debit","Home","Venture","",""
"4/06/2017","Google Payroll Ppd","GOOGLE INC       PAYROLLPPD ID: J770493581","88.76","credit","Paycheck","TOTAL CHECKING","",""
"4/06/2017","Google Payroll Ppd","GOOGLE INC       PAYROLLPPD ID: J770493581","750.00","credit","Paycheck","TOTAL CHECKING","",""
"4/06/2017","Ruby's Cafe","RUBY'S CAFE EMERYVILLE CA04/05","6.25","debit","Restaurants","TOTAL CHECKING","",""
"4/05/2017","Berkeley Bowl M","BERKELEY BOWL M BERKELEY CA04/05","11.32","debit","Groceries","Day to Day","",""
"4/05/2017","Amazon","Amazon.com AMZN.COM/BILL WA04/04","17.51","debit","Shopping","TOTAL CHECKING","",""
"4/05/2017","Recreation.gov","RECREATION.GOV","60.00","debit","Travel","Venture","",""
"4/05/2017","AAA","AAA","115.00","debit","Auto Insurance","Venture","",""
"4/04/2017","Lyft","PAYPAL           INST XFER  LYFTWEB ID: PAYPALSI77","9.73","debit","Rental Car & Taxi","Day to Day","",""
"4/04/2017","Curry Up Now","CURRY UP NOW SAN MATEO CA04/03","12.54","debit","Restaurants","Day to Day","",""
"4/04/2017","Comcast","COMCAST CALIFORN CS 1 800-266-2278 CA        04/04","113.43","debit","Television","TOTAL CHECKING","",""
"4/04/2017","Extreme Pita","EXTREME PITA TRACY CA04/02","6.47","debit","Fast Food","TOTAL CHECKING","",""
"4/04/2017","Check 101","CHECK 112","2295.00","debit","Mortgage & Rent","TOTAL CHECKING","",""
"4/04/2017","ComEd","SE COME ASI TAQUERIA BURLINGAMECA   810008  04/05","12.88","debit","Utilities","TOTAL CHECKING","",""
"4/04/2017","Discount Tire","DISCOUNT TIRE CAN 45","137.77","debit","Service & Parts","Venture","",""
"4/03/2017","ATM Withdrawal","ATM WITHDRAWAL000497  04/0378 E 4TH","140.00","debit","Cash & ATM","Day to Day","",""
"4/03/2017","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","200.00","debit","Transfer","Day to Day","",""
"4/03/2017","E Trade Ach","E*TRADE          ACH TRNSFRPPD ID: 1391321258","500.00","debit","Transfer","Day to Day","",""
"4/03/2017","Venmo","VENMO            PAYMENT    469147990       WEB ID: 3264681992","80.00","debit","Transfer","Day to Day","",""
"4/03/2017","3rd Ave Sports Bar & Grill","3rd Ave Sports Bar and SAN MATEOCA          04/01","30.00","debit","Alcohol & Bars","TOTAL CHECKING","",""
"4/03/2017","Target","TARGET T- 2220 Bridgep San MateoCA          04/02","44.19","debit","Shopping","TOTAL CHECKING","",""
"4/03/2017","Tous Les Jours","TOUS LES JOURS BURLINGAME CA04/01","4.80","debit","Coffee Shops","TOTAL CHECKING","",""
"4/03/2017","Safeway","SAFEWAY STORE     2878 MILLBRAECA   166481  04/03","18.63","debit","Groceries","TOTAL CHECKING","",""
"4/03/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  820765  04/02","9.48","debit","Groceries","TOTAL CHECKING","",""
"4/03/2017","Cruisers","CRUISERS MANTECA","40.37","debit","Gas & Fuel","Venture","",""
"4/01/2017","Stubhub","StubHub","29.06","debit","Business Services","Venture","",""
"3/31/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1551.10","credit","Paycheck","Day to Day","",""
"3/31/2017","Black Diamond Cafe LLC","BLACK DIAMOND CAFE EMERYVILLE CA03/29","8.69","debit","Restaurants","Day to Day","",""
"3/31/2017","Interest","INTEREST PAYMENT","0.01","credit","Interest Income","CHASE SAVINGS","",""
"3/31/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","750.00","credit","Paycheck","TOTAL CHECKING","",""
"3/31/2017","Pacific Gas & Electric","PGANDE           WEB ONLINE 69996269033017  WEB ID: 5940742640","28.19","debit","Utilities","TOTAL CHECKING","",""
"3/30/2017","Parking And Transportation","UCB PARKING AND TRANS C BERKELEYCA          03/29","6.00","debit","Parking","Day to Day","",""
"3/30/2017","Safeway","SAFEWAY STORE     2878 MILLBRAECA   841813  03/30","16.55","debit","Groceries","TOTAL CHECKING","",""
"3/27/2017","Capital One Crcardpmt","CAPITAL ONE      CRCARDPMT  708330189061597 WEB ID: 9541719018","1284.89","debit","Credit Card Payment","Day to Day","",""
"3/27/2017","Berkeley Bowl M","BERKELEY BOWL M BERKELEY CA03/27 Purchase $34.96 Cash Back","74.96","debit","Groceries","Day to Day","",""
"3/27/2017","Crepevine","CREPEVINE BURLINGAME BURLINGAMECA           03/25","28.20","debit","Restaurants","TOTAL CHECKING","",""
"3/27/2017","City Burlingame Park","CITY OF BURLINGAME-PARK BURLINGAME CA        03/25","1.00","debit","Parking","TOTAL CHECKING","",""
"3/27/2017","Sfmta","SFMTA 5TH & MISSION SAN FRANCISCO CA         03/25","10.50","debit","Fees & Charges","TOTAL CHECKING","",""
"3/27/2017","Oasis Grill","OASIS GRILL - 4TH ST SAN FRANCISCO CA        03/25","14.86","debit","Restaurants","TOTAL CHECKING","",""
"3/27/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  954526  03/26","20.01","debit","Groceries","TOTAL CHECKING","",""
"3/27/2017","Joy Sushi","JOY SUSHI SAN MATEO CA03/25","32.18","debit","Restaurants","TOTAL CHECKING","",""
"3/27/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  954403  03/27","32.85","debit","Groceries","TOTAL CHECKING","",""
"3/27/2017","Panera Bread","PANERA BREAD #204473 650-692-3100 CA         03/27","22.03","debit","Fast Food","TOTAL CHECKING","",""
"3/27/2017","Chevron","Chevron","44.17","debit","Gas & Fuel","Venture","",""
"3/25/2017","Fastrak","FasTrak","110.00","debit","Auto & Transport","Venture","",""
"3/24/2017","Trader Joe's","TRADER JOE'S # 170 MILLBRAE CA290370  03/24","16.61","debit","Groceries","TOTAL CHECKING","",""
"3/24/2017","Capital One Autopay","CAPITAL ONE AUTOPAY PYMT AuthDate 01-M AR","1284.89","credit","Credit Card Payment","Venture","",""
"3/23/2017","Philz Coffee","SQ *PHILZ COFFEE San Mateo CA03/23","9.00","debit","Coffee Shops","Day to Day","",""
"3/23/2017","Kaiser Permanente","KAISER 02090330 SAN MATEO CA03/23","10.00","debit","Health Insurance","Day to Day","",""
"3/23/2017","AES","AES              STDNT LOAN 3660282613PA    WEB ID: E231693362","400.00","debit","Student Loan","Day to Day","",""
"3/23/2017","Google Payroll Ppd","GOOGLE INC       PAYROLLPPD ID: J770493581","750.00","credit","Paycheck","TOTAL CHECKING","",""
"3/22/2017","Berkeley Bowl M","BERKELEY BOWL M BERKELEY CA03/22","8.99","debit","Groceries","Day to Day","",""
"3/21/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  855406  03/21","8.18","debit","Groceries","TOTAL CHECKING","",""
"3/21/2017","AT&T","AT&T","76.66","debit","Home Phone","Venture","",""
"3/21/2017","Berkeley Bowl","Berkeley Bowl","23.67","debit","Groceries","Venture","",""
"3/20/2017","Nothing Bundt Cakes","NOTHING BUNDT CAKES 84 MILLBRAECA           03/19","34.95","credit","Income","TOTAL CHECKING","",""
"3/20/2017","Ramen Parlor","RAMEN PARLOR SAN MATEO CA03/18","31.00","debit","Restaurants","TOTAL CHECKING","",""
"3/20/2017","Nothing Bundt Cakes","NOTHING BUNDT CAKES 84 MILLBRAECA           03/18","34.95","debit","Food & Dining","TOTAL CHECKING","",""
"3/20/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  641766  03/19","7.44","debit","Groceries","TOTAL CHECKING","",""
"3/20/2017","Presidio Cale Park","PRESIDIO-CALE PARK SAN FRANCISCOCA          03/19","8.50","debit","Parking","TOTAL CHECKING","",""
"3/20/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  516581  03/20","6.78","debit","Groceries","TOTAL CHECKING","",""
"3/20/2017","Trader Joe's","TRADER JOE'S # 170 MILLBRAE CA046043  03/20","11.54","debit","Groceries","TOTAL CHECKING","",""
"3/20/2017","Check 111","CHECK 111","162.02","debit","Utilities","TOTAL CHECKING","",""
"3/20/2017","Square Falafelle","SQUARE *SQ *FALAFELLE","8.18","debit","Restaurants","Venture","",""
"3/20/2017","Safeway","Safeway","16.30","debit","Groceries","Venture","",""
"3/20/2017","Stella Alpina Osteria","STELLA ALPINA OSTERIA","145.00","debit","Restaurants","Venture","",""
"3/20/2017","Cochon Volant B","SQ *COCHON VOLANT B","22.00","debit","Restaurants","Venture","",""
"3/20/2017","Black Diamond Cafe LLC","Black Diamond Cafe LLC","8.69","debit","Restaurants","Venture","",""
"3/16/2017","Lunardi Mkt Burlingame","LUNARDI'S MKT #8 1825 BURLINGAMECA  738042  03/16","38.04","debit","Groceries","TOTAL CHECKING","",""
"3/16/2017","Chevron","Chevron","50.59","debit","Gas & Fuel","Venture","",""
"3/16/2017","Trader Joe's","Trader Joe's","3.04","debit","Groceries","Venture","",""
"3/16/2017","Kobani Mediterranean Grill","Kobani Mediterranean Grill","8.67","debit","Food & Dining","Venture","",""
"3/15/2017","Reversal Berkeley Ironworks","Reversal: BERKELEY IRONWORKS BERKELEY CA","2.00","credit","Income","Day to Day","",""
"3/15/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1376.79","credit","Paycheck","Day to Day","",""
"3/15/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","1533.34","credit","Paycheck","Day to Day","",""
"3/15/2017","Amyris Biotechno Direct","AMYRIS BIOTECHNO DIRECT DEPPPD ID: 9111111101","750.00","credit","Paycheck","TOTAL CHECKING","",""
"3/14/2017","Spotify","ADY*Spotify P01E53C0 https://www.s NY        03/13","9.99","debit","Music","Day to Day","",""
"3/14/2017","Michaels","Michaels","17.22","debit","Hobbies","Venture","",""
"3/13/2017","Berkeley Ironworks","BERKELEY IRONWORKS BERKELEY CA03/10","2.00","debit","Amusement","Day to Day","",""
"3/13/2017","Tamarack Lodge","TAMARACK LODGE F&B STATELINE NV03/10","23.05","debit","Mortgage & Rent","TOTAL CHECKING","",""
"3/13/2017","Cafe Rolle","CAFE ROLLE SACRAMENTO CA03/11","25.00","debit","Food & Dining","TOTAL CHECKING","",""
